"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Lake View East","Chicago","IL","Chicago","Cook",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3000,3200,3000,3000,2800,2685,3095,3195,3190,3195,3230,3600,3612.5,3600,3195,3195,3100,2795,3050,2795,3100
"South Boston","Boston","MA","Boston","Suffolk",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4100,4300,3600,3590,3600,3600,3750,3800,3800,3900,4000,4200,4100,3900,3750,3500,3300,3300,3300,3800,3600,3600,4200,4200,4200,4000,3800,3800,3600,3800,4000,3800
"Laveen","Phoenix","AZ","Phoenix","Maricopa",37,1100,1100,1100,1100,1150,1100,1100,1085,1095,1097.5,1085,1075,1075,1097.5,1095,1100,1149.5,1100,1100,1100,1100,1097.5,1050,1095,1095,1095,1095,1095,1100,1100,1100,1150,1125,1125,1100,1100,1095,1095,1095,1100,1095,1100,1125,1150,1150,1100,1150,1100,1097.5,1125,1175,1175,1200,1195,1200,1200,1200,1250,1200,1200,1200
"South End","Boston","MA","Boston","Suffolk",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,4500,4450,4500,4400,4400,4400,4400,4200,4400,4250,4200,4400,4500,4600,4800,4800,4800,4800,4600,4600,4600,4700,4995,4995,4800,4800
"Las Tierras","El Paso","TX","El Paso","El Paso",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1300,1250,1300,1250,1200,1200,1200,1200,1197.5,1200,1250,1250,1250,1287.5,1275,1250,1250,1255,1197.5,1195,1200
"Allston","Boston","MA","Boston","Suffolk",40,,,2850,2800,2800,2700,2700,2700,2750,2600,2600,2925,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,2950,3000,3100,3100,3100,3050,3050,3000,3000,3000,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3100,3200,3300,3400,3300,3300,3300,3200,3200,3200,3198.5,3100,3200,3500,3500
"Fenway","Boston","MA","Boston","Suffolk",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5400,5200,5400,5500,5200,5400,5400,4900,4900,4900,4900,4900,5200,5400,5400,5200,5200,5000,5200,5200,5200,5200,4800,5100,5200
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",42,,,,,,,,,,,,,2400,2300,2300,2200,2200,2100,2000,2000,2100,2100,2200,2350,2300,2300,2360,2360,2100,2100,2000,2000,1950,2200,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,1975,2000,2200,2200,2200,2200,2200,2200,2200,2100,2000,2000,2200,2200,2200,2200,2200
"Westgate","Henderson","NV","Las Vegas","Clark",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1875,1895,1897.5,1925,1925,1972.5,1895,2100,1970,1995,1872.5,1747.5,1685,1760,1795,1695
"Mission Hill","Boston","MA","Boston","Suffolk",44,,,,,,,,,,,,3600,3400,3400,3400,3250,3300,3400,3400,3400,3400,3400,3400,3500,3600,3600,3600,3650,3600,3600,3700,3600,3600,3600,3725,3800,3800,3800,3800,3800,3800,3800,3800,3750,3687.5,3750,3800,4000,4000,4000,3950,3900,3900,3900,3850,3700,3600,3600,3800,4000,4100
"Hartranft","Philadelphia","PA","Philadelphia","Philadelphia",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2150,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"Manayunk","Philadelphia","PA","Philadelphia","Philadelphia",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1975,1995,1950,1800,1799,1700,1750,1799,1725,1800,1895,1895,1995,1900,1800,1800,1800,1800,1799,1750,1750,1750
"Stanton","Philadelphia","PA","Philadelphia","Philadelphia",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,1990,1875,1997.5,1800,1925,2000,2000,1975,1800
