"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Logan Circle","Washington","DC","Washington","District of Columbia",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2500,2497.5,2575,2575,2550,2700,2975,2799.5,2643,2505,2785,3000,2750,2795,2875,2650,2800,2750,2790,2770,2750,2800,2910,3200,2875,2850,2750,2700,2750,2750,2750,2700,2700,2700,2850,2900,2880,2900,2900,2905,2900,2725,2850
"Kenmore","Boston","MA","Boston","Suffolk",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.5,2850,2700,2650,2600,2510,2800,2800,2612.5,2597.5,2550,2600,3004,3004,2850,2790.5,2700,2650,2400,2450,2550,2597.5,2800,2850,2995,3009.5,3004
"Ala Moana-Kakaako","Honolulu","HI","Urban Honolulu, HI","Honolulu",147,,,,,,,,,,,,,,,,,,3200,3050,3200,2800,3000,2650,2700,2722,3000,3200,3300,3000,2800,2800,2900,3100,3050,3000,3000,3000,2600,3000,3200,3200,3200,3100,3000,3200,3300,3100,3450,3000,3000,3000,3200,3200,3000,3000,3200,3175,3100,3000,2925,3200,3000,3200,3000,3000,3015,3000,3100,3100,3050,3100,3100
"Spuyten Duyvil","New York","NY","New York","Bronx",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,2000,2050,2100,2200,2050,2275,2125,2100,2172.5,2300,2200,2437.5,2200,2350,2437.5,2575,2487,2475,2275,2200,2200
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",149,,,,,,,,1675,1700,1800,1725,1600,1600,1600,1600,1600,1650,1650,1650,1695,1750,1750,1800,1800,1862.5,1875,1875,1975,2050,2100,2000,2000,2000,2000,2100,2162.5,2200,2197.5,2100,2100,2100,2100,2150,2200,2100,2100,2100,2000,2000,2000,2000,2100,2100,2100,2150,2100,2100,2197,2100,2100,2100,2175,2300,2300,2400,2400,2400,2400,2400,2500,2550,2500
"University Village - Little Italy","Chicago","IL","Chicago","Cook",150,,,,,,,,,,,,,,,,,,,,,,,1900,1850,1800,1800,1762.5,1850,1900,1900,1900,1850,1825,1800,1600,1550,1700,1700,1680,1519.5,1552.5,1522,1500,1499,1700,1800,1800,1800,1800,1800,1805,2000,1962.5,1875,2050,2046,2000,2000,1987.5,1810,1800,1825,1800,1900,2000,2000,2200,2000,1950,1950,1987.5,2000
"Gold Coast","Chicago","IL","Chicago","Cook",151,,,,,,,,,,,1650,1650,1600,1600,1725,1750,1795,1650,1762.5,1750,1700,1550,1550,1575,1665,1599,1692,1684,1800,1737.5,1892.5,1823,1850,1838,1700,1800,1804,1700,1707,1705.5,1660,1650,1645,1637,1695,1637,1695,1674,1674.5,1700,1800,1792.5,1750,1750,1750,2000,2000,2000,1900,1850,1850,1800,1800,1800,1850,1800,1795,1750,1795,1800,1800,1750
"Fishtown","Philadelphia","PA","Philadelphia","Philadelphia",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1472.5,1550,1572.5,1500,1550,1500,1500,1495,1600,1550,1497.5,1337.5,1440,1500,1400,1472.5,1500,1500,1500,1695,1795,1772.5,1800,1572.5,1600,1572.5,1500,1495,1500,1497.5,1575,1695,1662.5,1700,1700,1700,1600,1500,1595,1595
"Villages of Palm Beach Lakes","West Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",153,,,,,,,,,,,,,,,,950,950,950,950,975,979,982,950,950,999.5,1050,1050,1000,1000,999,1000,1000,999,1000,1000,1000,1000,1000,1025,1000,1050,1000,1016,1000,1100,1100,1100,1112.5,1125,1100,1100,1100,1100,1135,1150,1150,1150,1150,1150,1150,1150,1150,1197.5,1200,1200,1175,1195,1225,1200,1200,1200,1212.5
"Tudor City","New York","NY","New York","New York",154,,,,,,,,,,,,,,,,,,,,,,,,,,2986,3000,3000,3000,3000,3000,3000,3000,3000,2950,2900,2853,2952.5,2995,2999,2999,3000,3000,3050,3200,3181,3100,3000,3000,3000,3000,3100,3050,3200,3100,3200,3200,3200,3165.5,3125,3000,3000,3100,3181,3100,3225.5,3295,3225.5,3250,3300,3300,3200
