"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Central West End","Saint Louis","MO","St. Louis","Saint Louis City",561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316150,299900,299900,290950,294000,286950,292000,299000,325000,343600,334900,296000
"Upper Clinton Hill","Newark","NJ","New York","Essex",562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132500,127000,127000,129000,134500,145000,150000,155000,155000,130000,120000,134950,122500,123750,130000,144500,135000,145000,161450,159000,150000,144900,129000,138000,135000,126000,129000
"Rita Ranch","Tucson","AZ","Tucson","Pima",563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167900,174250,175750,179950,179450,183900,187000,180000,189900,187450,184950,189000,185805,180745,181245,175000,174950,169900,171945,175000,175000,174995,179000,179450,179500,178500,178700,176990
"Hyde Park Brookwood, Southern Hills","Shreveport","LA","Shreveport","Caddo",564,132900,135000,139300,142000,139900,139900,132500,139000,139000,133450,129900,134900,125000,112500,120400,129900,129900,124900,127450,129900,130000,128900,128897.5,129000,125000,125000,125000,135000,134000,134000,134950,128200,129700,121450,139900,131500,135000,135000,134999,139000,145000,144900,140000,139900,147450,142500,149900,143700,135450,140000,135000,135450,139500,137000,129900,129950,135950,135000,136000,135750,135500,133950,136810,137900,140950,141000,139700,135500,139500,135000,132500,136500,131450
"Fishtown","Philadelphia","PA","Philadelphia","Philadelphia",565,147500,138450,154900,168750,167500,160000,167500,169900,178500,179900,179900,174950,179000,184900,175000,175000,184900,174900,165400,174400,169912.5,173450,169900,169900,169450,169900,157502,159900,169900,178500,175000,159900,169000,175000,204950,189900,195000,208900,219950,225000,229700,229500,225000,210000,209900,229250,229900,244900,240000,249700,250000,249900,249900,249250,247500,242500,237500,234900,236500,239900,236500,240500,249900,259750,250000,249900,249900,249900,249000,249900,250000,249900,250000
"Huntridge","Las Vegas","NV","Las Vegas","Clark",566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111989,109950,115000,119900,115360,124900,119450,120000,110000,118200,126944,128888,120000,125888,134900,127900,134900,134900,136000,139000,131500,139900,135000,135000,135000,136000
"Squirrel Hill South","Pittsburgh","PA","Pittsburgh","Allegheny",567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390000,375000,371750,341000,339450,329000,350000,365000,360000,357000,352000,369000,359000,359000,349450,350000,349950,350000,349500,349000,362000,350000
"Bay View","Milwaukee","WI","Milwaukee","Milwaukee",568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129500,123000,124900,124900,137500,139900,137400,148900,142250,149200,171200,159900,156000,149900,159400,169900,159900,154000,159900,151950,159900,168000,159900,162450,147200,143900,144900
"Villages of Palm Beach Lakes","West Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000,119000,119900,125000,125000,121000,124950,134900,139995,134900,129900,129900,130000,134700,133500,129900,129900,127250,129500,129000,129900,129700,129500,129900,138000,149000,145000
"Central Beaverton","Beaverton","OR","Portland","Washington",570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202600,199000,191995,199900,189950,199900,212000,215000,239825,235000,236000,237000,234900,227450,220000,214900,224950,225000,224900,220000,229000,240000,233000,230000,249900,247450,255328.5,250328.5
