"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Southwest Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",229,325000,325000,327499.5,340000,330000,349000,359900,376000,374950,329999.5,310000,299900,279000,295000,275000,3e+05,325000,325000,339000,325000,321997.5,324000,324900,3e+05,314900,325000,332450,380000,379450,329500,339950,340000,347450,349000,389900,390000,399000,395000,395000,417000,399500,369950,424950,410750,425000,384900,424000,399900,394750,399950,399949.5,414900,419000,430000,419900,419000,420000,410000,399000,386500,399500,384900,409950,446250,460000,474900,465000,445000,444500,437750,459000,469964,499450
"South Loop","Chicago","IL","Chicago","Cook",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000,325000,325000,342950,325000,347000,349000,339900,349000,354900,349900,349942.5,320000,299500,314900,349000,345000,345000,346880,335000,329900,329900,339900,339900,345000,349000,347900
"South Boston","Boston","MA","Boston","Suffolk",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499450,489000,469000,469000,499000,499900,499900,519000,512000,529000,559000,595000,549000,549000,550000,549000,569000,584000,569000,549000,539900,539900,569000,599000,599999,599000,639000,622258.5,599000,599000,589000,589450,579000,599000,599000
"Cobbs Creek","Philadelphia","PA","Philadelphia","Philadelphia",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,74950,74950,74950,74900,73000,75000,74950,74900,76000,75000,74950,74900,69000,70000,69900,69900,69900,69000,64900,68950,64900,68000,66900,68500,69500,69995
"Westchester","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704450,699900,697000,754000,799000,799000,764000,799000,822500,829000,821200,819000,799000,799000,824000,819000,829000,829500,829250,849999.5,859000,882000,857000,855000,899000,899000,879000
"La Sierra","Riverside","CA","Riverside","Riverside",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296250,317500,309900,319900,329900,337250,327000,318250,319900,329900,330000,329900,329900,329900,330000,339900,349900,359900,354999,349900,350000,349994.5
"Hyde Park","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000,319000,315000,310000,319950,319450,344999,331750,349750,368500,350000,345000,349000,345000,369900,377000,348000,384750,399950,399900,412500,394950,382500,385000,387499.5,389900,395000
"Studio City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929900,944000,997000,939000,849950,960000,962500,925000,957450,924000,945750,9e+05,849000,899000,899000,949500,1049000,1049000,1012000,1069000,1095000,1100000,1099000,1050000,1059000,999950,1100000
"Del Rey","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709000,699000,729500,719900,729950,714450,720000,749000,725000,734000,749000,780000,750000,779000,799000,789000,854000,859000,859000,825000,837000,850000,844500,840000,835000,835000,849000
"West Lawn","Chicago","IL","Chicago","Cook",238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,144900,139900,131900,139900,139900,148750,149000,149900,154900,149000,149700,146500,137450,146500,144300,145900,149900,157950,159900,160000,161900,165000,155000,159900,159950,149900
"West","Fresno","CA","Fresno","Fresno",239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178445,189500,209900,206950,194999,179925,194999,192449.5,199000,199900,224225,219900,212250,220000,228225,234600,228450,217000,215000,218000,224900,229000,224950,220000,218500,209830,2e+05
"Whitney","Las Vegas","NV","Las Vegas","Clark",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,135000,134846,143000,135000,140000,143999,145000,140000,140000,140000,142700,148650,150000,150000,150000,150000,151495,150000,150000,153000,154900,155000
"West Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,599000,587250,589500,554000,599000,599000,579999,579999,579000,579999.5,579900,578000,556500,584950,589990,599000,589999,619500,595000,619000,629000,614900,632450,649000,645000,634000
"Columbia Heights","Washington","DC","Washington","District of Columbia",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422400,407450,399900,399900,359450,392500,399900,469777.5,485000,499000,487000,475000,474777.5,417450,452450,405000,447000,449000,499900,499949.5,532500,525000,530000,525000,518500,569000,560125,569000,597000,575000,549450,597000,550000,575000,559000,559500,579950,572450,568700,569900,579000,550000
"Juniata Park","Philadelphia","PA","Philadelphia","Philadelphia",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93500,93250,92499.5,91499.5,89900,90000,89900,85000,85450,85000,86250,85900,84900,75000,79900,84900,85000,84900,79900,79900,80000,84900,79900,79900,79066,79900,79900
"Old Brooklyn","Cleveland","OH","Cleveland","Cuyahoga",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,70400,69788.5,69500,72000,72500,74700,74200,70500,72000,69900,69900,66989,65994.5,69700,67950,65000,64900,67900,68250,68450,69800,69000,68400,69900,69250,69900
"North Central","Pasadena","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469900,479000,472250,485000,477000,479000,469000,499000,498800,499000,499000,479999,499000,499949,498900,497000,499000,518000,518000,519000,499999,520500,530000,532000,532450,539450,524950
"Bustleton","Philadelphia","PA","Philadelphia","Philadelphia",246,214900,209949.5,209900,214950,215000,224900,225000,219900,219900,224900,219900,219900,224900,206967.5,224950,219900,219900,214900,212450,219900,215000,214999.5,207000,206950,208900,2e+05,184950,179900,189400,185000,174575,169900,168900,182500,205000,204900,202449.5,209000,224900,224900,224900,214900,219000,214450,224900,219950,220000,220000,229450,224750,214900,225000,224900,219900,217000,219900,224900,219900,219900,207450,209900,218000,222900,224900,219900,229900,229000,219900,218000,229950,239900,239900,249999.5
"Hyde Park","Boston","MA","Boston","Suffolk",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308000,3e+05,269500,299450,299900,302000,310000,329950,325000,325000,329900,335000,326000,329000,322000,324500,335000,339900,339000,349450,349900,349900,349000,335000,330000,344450,3e+05
"Oak Cliff","Dallas","TX","Dallas-Fort Worth","Dallas",248,239450,239900,249000,247250,249000,249500,250000,239000,250000,237000,219000,215000,219900,229700,229250,229700,247995,239450,239000,199475,229900,233750,225000,223450,239000,250000,264900,282000,289900,250000,265000,265000,274950,279900,281250,294500,294750,299000,314450,314900,315000,315000,299000,306000,299450,299900,320500,319950,293950,320450,349950,349950,347450,345000,349900,395000,382500,395000,385000,337995,364450,379900,389900,379000,379000,385000,379000,384000,399900,395000,395000,403749.5,399900
"Fort Bend - Houston","Houston","TX","Houston","Harris",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80481,84000,85000,84000,84000,81450,83450,81000,84000,86950,89900,93250,90000,84339,89900,89900,93499.5,91800,95000,94749.5,96000,92360,99900,101700,89000,99900,97250,96750
"Overbrook","Philadelphia","PA","Philadelphia","Philadelphia",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,125950,121900,124900,122200,120950,122000,124900,117000,113400,110000,110000,109900,109900,116500,119450,119000,124950,129450,124950,119900,116000,120000,119950,124000,123950,123250
"Wolf Creek","Dallas","TX","Dallas-Fort Worth","Dallas",251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88500,84950,84949.5,84999,89000,89000,85000,85000,93000,91900,99900,98000,99900,99900,91900,1e+05,89000,97800,101500,105000,102000,115000,115000,114250,115000,114000,113000
"Mount Lebanon","Pittsburgh","PA","Pittsburgh","Allegheny",252,209900,219900,210000,214950,219900,215000,202500,205000,199900,209900,209900,209900,201999.5,209900,209900,209900,209000,205000,199900,199900,199950,205000,209000,209000,202500,204950,209900,211000,205000,209900,194950,199900,2e+05,205000,219900,210000,218950,229900,227250,224900,225000,229900,222250,219950,225000,229900,229700,223900,214000,220950,231150,239150,244900,259900,251450,255000,264950,265000,254900,237450,249900,247000,259450,272400,259949.5,269900,265000,264950,279900,284900,284900,271749.5,269900
"West Oak Lane","Philadelphia","PA","Philadelphia","Philadelphia",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,117500,119650,119900,119900,115000,115903,118500,115000,118000,119000,117450,118250,110000,112000,114900,114900,119700,119900,120000,119900,120000,119950,112000,120000,119000,119000
"Venice","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199000,1195000,1272500,1345000,1395000,1340000,1370000,1349475,1369000,1299900,1298000,1295000,1362500,1349500,1350000,1299500,1300000,1350000,1399000,1495000,1491500,1530000,1585000,1550000,1545000,1595000,1625000
"South Corona","Corona","CA","Riverside","Riverside",255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479900,478944,495000,495000,495000,5e+05,525000,515000,5e+05,500800,489000,495000,490400,489000,492500,515000,516500,518800,527000,524900,515000,519949.5,514950,505899.5,500925,509750,509300
"Laveen","Phoenix","AZ","Phoenix","Maricopa",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,170000,168925,174900,174975,176700,179900,177893,179647.5,179900,182725,179990,179900,175000,179945,184925,184900,184900,188990,187990,188925,189900,189990,189990,195000,194900,198240
"Greenpoint","New York","NY","New York","Kings",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994000,1150000,1100000,1199000,1149500,1100000,999000,999000,1050000,1050000,995000,1023500,998000,1050000,999999,1067500
"Roslindale","Boston","MA","Boston","Suffolk",258,,,289900,289450,287000,284450,270000,261950,285000,289000,279900,275000,279000,267450,289000,287000,289900,289000,275000,269000,265000,279000,269000,269000,255000,259000,279000,279000,287000,295000,279000,269000,289500,297000,324900,322400,324900,314900,309900,340000,327400,344950,334900,329900,340000,339000,336950,334900,319000,324900,329000,339000,339000,329000,339000,349900,349900,352450,399000,414000,449900,435000,419000,419000,445000,449000,447000,445000,382000,389750,399000,399000,399900
"Sawtelle","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649950,719000,695000,649888.5,649950,649838.5,679000,619000,619000,598500,654000,692750,699000,699000,720000,699500,749000,734000,679950,690650,680000,699499.5,750000,779000,799000,795600,799900,799000,786500,785000,780000,795000,782500
"14621","Rochester","NY","Rochester","Monroe",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34900,35670,35670,34900,34900,37700,39900,43000,43000,39900,43950,44200,39900,38000,35950,34900,34900,35000,37400,39400,39900,38000,35950,34900,34900,29900,29900,30400
"Summerlin South","Las Vegas","NV","Las Vegas","Clark",261,350000,366000,329997.5,299945,298404.5,261250,259990,259000,252743,255000,224900,220000,212626.5,220000,215000,199950,225000,225000,225000,235000,229999,228250,242995,239837,242995,250000,254900,264745,268995,269000,280472.5,280000,275000,277990,291990,299900,309000,313790,313790,324900,336747,331334,333880,329000,332315,345990,346445,358856,352500,375000,375000,384018,398000,399825,380000,375000,375000,375000,371000,379450,389000,399900,409995.5,414500,399990,395000,394000,399949.5,399945,399000,415000,412500,429999.5
"West Raleigh","Raleigh","NC","Raleigh","Wake",262,154900,152500,149900,144450,149450,149900,150000,156616.5,154900,154900,156900,157450,150000,150000,147900,139000,145000,149900,149450,149900,139900,144900,142900,155000,155000,155000,159450,159995,165000,162950,165000,158900,155500,155225,165000,174500,161200,170000,169500,165000,169900,169900,169950,175000,188450,184950,184900,168000,189000,164000,164900,157450,169800,169900,170000,169900,172500,168900,154000,165000,157500,169900,169900,153950,170000,187000,170000,195000,185450,191000,185900,187000,184900
"Rochdale","New York","NY","New York","Queens",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,389499.5,399000,369000,369000,399000,377950,375000,379000,379000,379000,379000,399000,399000,359000,359000,385000,419000,397000,389000,399000,386000,379000,412500,399000,439000,449000
"Makiki-Lower Punchbowl-Tantalus","Honolulu","HI","Urban Honolulu, HI","Honolulu",264,280000,298888,310000,310000,308875,299725,299500,319500,319000,309000,299925,299000,295000,295000,299000,296500,308000,295000,310000,347050,345000,367000,386000,380000,380000,374000,376850,359000,369000,350000,359450,354500,339000,319000,318000,309900,315000,315000,323350,336000,320000,310000,315000,319500,299999.5,3e+05,318000,325000,339000,352450,354900,338000,350000,349000,349500,350000,360000,343000,336500,359500,384000,398000,380000,398000,380000,375000,386500,381500,375000,393500,398000,385000,385000
"Middle Village","New York","NY","New York","Queens",265,519000,519000,519000,519000,519000,518000,516500,519500,534900,534900,534900,499000,499000,465000,499000,486500,478000,478500,499000,499000,484000,499500,499000,499000,509000,499000,499000,499000,508500,519000,508000,492500,459500,466500,519000,499000,509000,518500,489000,504000,499000,509500,504000,515000,526900,495000,464000,439000,478000,514000,563500,569000,569999,574499.5,569000,574500,569000,564500,578000,569000,578000,588000,619000,598000,6e+05,649000,649000,649000,649999,675500,689000,688000,643500
"Bay Terraces","San Diego","CA","San Diego","San Diego",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265000,278250,279000,290000,297499.5,305000,279000,299000,3e+05,299950,310000,309950,317500,309900,304500,325000,284900,299000,299949.5,316450,349450,330000,299500,330000,330000,339000,325000
"The Colony","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","Orange",267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,454950,445245,429900,419950,419900,420000,425000,425000,399000,419000,429000,429000,432950,428888,429900,429450,429450,449950,470000,479900,462450,484900,479900,495000,479900,497000
"Sugar House","Salt Lake City","UT","Salt Lake City","Salt Lake",268,264900,262000,267247.5,265000,259900,249950,254961,259900,255000,259900,253461,249000,240000,245000,239900,234504,234702,235153,230965,235153,239000,240916,229950,230482.5,229000,230000,229000,220900,215250,221900,229000,240458,253000,265000,279000,267500,265000,266900,269450,274950,294900,285000,288950,289000,299987,299000,289000,289900,289000,289450,299900,305000,318950,319000,317000,319000,320000,303950,302900,3e+05,325000,310000,325000,310000,314950,318000,319450,319999.5,329900,329900,320000,313900,320000
"Berclair-Highland Heights","Memphis","TN","Memphis","Shelby",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36250,34000,30000,30000,28950,30000,32500,29900,34000,33960,34450,30000,32250,35000,34900,30830,30000,29900,29700,29900,31250,35500,35700,32900,31500,32050,29000
"Gateway - Green Valley Ranch","Denver","CO","Denver","Denver",270,145000,145000,145000,145000,144000,145000,143450,143800,152100,153995,144900,141250,144900,134900,130000,127500,125000,133750,135000,139450,137000,137900,133450,131450,130000,139900,140000,137400,143500,150000,154900,157450,155000,159900,162460,165000,170500,174500,182000,184900,189945,195000,200500,205205,209000,203000,205000,202999,2e+05,207000,214900,222000,225000,225000,229900,225000,225000,225000,234975,234000,239450,245000,249700,250000,252450,255000,258000,258900,260000,275000,280000,281000,285000
"Downtown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539000,549000,577000,579000,589000,579450,559000,549000,532000,525000,525000,539500,562000,575000,585800,595000,582500,615000,629000,645000,659000,649000,657500,679715,684715,699950,699000
"Kingesessing","Philadelphia","PA","Philadelphia","Philadelphia",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,49250,57000,60000,49249.5,53500,50000,48500,45750,45750,45750,50000
"Mayfair","Philadelphia","PA","Philadelphia","Philadelphia",273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,124900,125950,128400,124951,123499.5,124950,124900,127495,124900,124900,124950,125000,120000,119900,123900,129900,129900,129900,129900,130000,129900,129900,124900,118000,119900,124900,125000,125799,125000,124900,125000,125000,129000,128487.5,128475,124900,124900
"Mears Corner","Virginia Beach","VA","Virginia Beach","Virginia Beach City",274,236350,234900,229000,229000,229000,227900,229900,234900,235000,232000,229000,224900,217900,224000,218500,218500,219900,211000,215000,214000,207000,2e+05,2e+05,213422.5,207450,214000,215000,204950,214900,211000,209954.5,209900,2e+05,199900,215000,220000,217000,212450,219950,229000,225000,225000,220700,219900,228000,226000,225000,224900,218000,230000,236750,235250,238250,239900,239000,229900,228000,225000,224950,226000,229000,229450,229900,233700,237900,234900,237000,231900,233100,234900,234900,234900,228000
"Southwest","Reno","NV","Reno","Washoe",275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338500,337750,326500,329000,349000,350000,355950,359000,359950,372500,367000,359500,369900,380000,380950,384375,379500,389000,398500,399900,420000,429000,419900,420000,410000,398250
"Capitol Hill","Seattle","WA","Seattle","King",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,369000,379000,422250,435000,427475,430000,407000,419950,379000,359000,345000,359950,374999,389000,389500,379800,359000,399250,384475,389975,359000,375000,375000,372475,391375,399950,427375,424400,415000,369000,422500,449900,454500,479000,429500
"M Streets","Dallas","TX","Dallas-Fort Worth","Dallas",277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318000,299900,319000,319900,315000,315000,337500,349450,349000,319900,324950,325000,327000,299900,299900,310000,329950,344000,319995,339000,349250,325000,350000,365000,367000,374900,392500,389000,399900,399900,399999.5,4e+05,419495,405000,4e+05,4e+05,4e+05,410500
"Belmont Central","Chicago","IL","Chicago","Cook",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167900,169950,169900,169900,199500,199900,189500,194750,190000,217450,215000,212400,199000,212250,205000,219450,220000,229900,235000,230000,229000,219700,229000,230000,224900,220400,229000
"Wynnefield","Philadelphia","PA","Philadelphia","Philadelphia",279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119900,114900,119900,134500,130000,130000,135000,135450,134500,129900,124500,124400,110000,114500,129000,132900,134000,124900,131400,121000,132900,132900,129999,129900,127450,118000
"Torresdale","Philadelphia","PA","Philadelphia","Philadelphia",280,145000,145000,157450,159997.5,159937.5,159900,159995,164900,164900,159900,154999,154900,159900,149900,149900,148800,149900,149900,149900,145900,149950,145897,147250,137500,138700,137700,138900,124999,124900,124900,124900,127000,133500,125000,139250,144500,144700,144900,152450,154900,161000,159900,164000,164000,164500,169000,169900,169000,164999,165949.5,162500,159900,159777,164900,184950,189975,184500,179900,169900,164950,159500,149800,159000,157000,164900,164900,169900,172950,184900,179900,179900,179900,184950
"Homecrest","New York","NY","New York","Kings",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,4e+05,395000,397500,399000,448000,475000,479000,429000,479000,458000,450000,479000,479000,472950,479000,484950,499000,560000,519000,509000,525000,522000,559500,575000,655000,652500
"West Roxbury","Boston","MA","Boston","Suffolk",282,329900,359450,374000,399900,399900,399000,399000,399000,399900,399000,369450,352450,399900,399000,389900,359900,372400,359900,349900,340000,349000,339450,334500,349900,349900,349900,369900,353000,379900,369900,360000,347000,349000,349450,379000,344900,339000,365000,390000,399450,389000,420000,419900,399450,389000,419450,384450,399900,397400,399450,399900,444400,439900,429900,429700,439450,462450,454500,449950,429900,429900,429850,439000,444000,459000,449850,439900,439000,429900,429900,464500,447000,445000
"Southeast Boise","Boise","ID","Boise City","Ada",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227000,224500,209900,209000,215200.5,209900,209900,204900,195990,214990,209990,228995,231495,224995,224950,232495,225500,219950,218939,219947.5,224950,234900,226995,239000,224950,229800,239000,238250,239900,239450,249900,243400,230000
"Northwest Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","Orange",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,399000,379500,399950,379900,387450,365900,395000,389900,379000,389450,359450,401999.5,410000,359699,315000,359699,382000,394999,360000,4e+05,402500,422500,405000,390000,408000,408000
"Bellerose","New York","NY","New York","Queens",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,394000,429000,435000,449000,449000,449900,449000,458944,449000,439995,429000,449000,478888,476944,519495,510000,519994.5,519994.5,519000,539000,524900,499499.5
"Alum Rock-East Foothills","San Jose","CA","San Jose","Santa Clara",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518400,487888,452250,455500,509500,482500,521419,548888,575000,515000,567000,559888,559944,550000,598500,599475
"Valley Glen","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549900,549999.5,559500,579000,550000,574450,559000,559500,569000,579000,579900,572888.5,560000,549950,540000,550000,575000,577000,575000,559000,569000,554500,575000,574950,595000,598800,589350
"South End","Boston","MA","Boston","Suffolk",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824900,682000,712000,744000,799900,799000,720000,724500,759900,650000,699000,775000,750000,767000,759000,762000,759450,736500,795000,769000,789000,799000,769000,861000,799000,819000,827500,889000
"Hawaii Kai","Honolulu","HI","Urban Honolulu, HI","Honolulu",289,850000,888500,811000,845000,877000,839000,839000,912000,749000,749000,729000,769000,741500,734500,749000,772000,792000,778000,778000,749576,749000,750000,749000,738000,699000,699900,739000,739000,708950,719000,719000,718000,729000,739000,750000,799900,820000,792000,750000,839000,928000,925000,925000,899500,884500,815000,850000,925000,975000,926500,875000,888900,899000,927000,899000,950000,969500,980000,957500,970000,945000,945000,947500,946944,986500,985000,949000,962500,930000,956250,975000,1090000,1023444
"Downtown","Jersey City","NJ","New York","Hudson",290,411640,389000,375000,379000,379500,378000,375000,397000,399000,399000,399000,399000,397000,412450,423000,425983,426066,410000,399900,399000,399900,399900,399900,409500,420000,424950,419000,419950,439950,437000,425000,429000,435000,419000,450000,453500,450000,451500,479000,485000,485000,475000,444949.5,429500,424900,429700,449000,475000,495000,499000,499000,519000,525000,519000,519950,497000,495000,511500,575000,529000,549900,579000,549999,575000,579000,612500,599000,619000,639000,650000,639000,639000,577500
"Payne Phalen","Saint Paul","MN","Minneapolis-St Paul","Ramsey",290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,134900,134900,131400,134900,129900,135000,134999,132445,129900,132400,134900,132000,132450,129900,129900,129900,128400,129500,129900,129900,134900
"Clinton","New York","NY","New York","New York",292,,,,,,,,,,,,,,,,825000,810000,810000,799999,791500,799000,830000,855000,799000,795000,765000,750000,750000,750000,779500,775000,775000,886045,850000,9e+05,925000,872100,899000,995000,9e+05,925000,907500,925000,970000,1e+06,1e+06,1e+06,1e+06,1045000,1018000,1025000,1054000,1057000,1040500,1e+06,1021500,1009000,1145000,1157500,1145000,1125000,1110000,1200000,1135000,1090000,1100000,1065000,1100000,1050000,1045000,1095000,1150000,1090000
"Somerton","Philadelphia","PA","Philadelphia","Philadelphia",293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226450,224900,224900,224900,219000,225000,214900,214900,214999.5,209999,217900,224949.5,209900,215000,214999.5,224900,234900,229000,229900,229000,229000,224900,224900,219900,219900,224900,239388.5,239000,229900,239900,239900,239352,239900,236000,238000,238900,240000,229900
"Neartown - Montrose","Houston","TX","Houston","Harris",294,369000,380000,375000,369900,369000,369000,359000,364000,375000,375000,379000,369900,370900,375000,364950,359950,365000,369900,375000,375000,377600,398750,389999,399900,410000,399650.5,409000,404950,419000,419900,425000,449000,449250,461250,459900,450000,450000,455000,454700,461850,469000,464000,484900,474499.5,487750,492000,514450,519450,499950,520000,514450,549900,539450,564900,609000,639700,657020,679900,684995,679999,669000,649000,638000,624900,630000,629000,625000,599990,629000,639000,639450,629900,599945
"Saugus","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000,404900,410000,4e+05,414900,425000,434900,427000,429900,429900,439999.5,442950,439000,439900,445000,449949.5,449999,439000,450000,469000,466999,457000,473990,480000,484900,485000,484950
"North Valleys","Reno","NV","Reno","Washoe",296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500,152500,160000,170000,172000,174900,178000,179900,189000,189000,185000,185000,186900,189450,189000,196500,199000,205000,205000,214895,209450,209900,220000,218000,214388.5,219900,225800
"Roxborough","Philadelphia","PA","Philadelphia","Philadelphia",297,227499.5,225000,222450,220000,219950,224900,222450,214900,214900,214900,210950,203450,212900,215000,214450,219500,215000,209000,209000,204950,203500,199900,205000,199900,207450,199900,214700,208700,199900,204900,199900,202400,199450,199900,199999,199900,209900,2e+05,209900,216950,211000,217900,214900,214900,224900,212450,239900,242450,225000,234900,239900,227000,225000,225000,218250,217750,210000,209900,211750,214200,215400,219000,224500,217900,209900,214950,219900,220000,232000,222450,219900,218950,219900
"Queen Village","Philadelphia","PA","Philadelphia","Philadelphia",298,368700,368700,375000,363250,379000,379000,362900,384000,349900,375000,394450,389900,397000,399900,399450,411000,411000,419000,408450,417000,399900,389500,395000,334900,332450,338449.5,349450,374900,349900,367400,350000,350000,360000,390000,4e+05,399900,418950,436500,449950,437450,429950,399000,399000,419900,399000,374900,389450,399000,419950,439950,438000,4e+05,365000,385000,399450,419900,445900,449900,462450,427450,449900,489950,490000,439520,515000,499900,499900,492450,475000,459900,450000,452499.5,450000
"Alexandria West","Alexandria","VA","Washington","Alexandria City",299,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,249000,256500,239500,239500,205000,234900,249250,249500,249250,240000,257000,237400,275000,249495,249444,259900,260000,265000,286000,289900,286000,290000,265000,249250,254945,291500,291500,285000,275000,269945,274999.5,249900,230000,237075,235000,249000,230000,234900,225000,234950,232000,259000,227000,225000,220000
