GEO.id,GEO.display-label,TotalHH,AvgHHSize,NonFamilyHHSize,HHChildren18,TotalHHNonFamily,HHOwnerOcc,HHRentOcc,GEO.id2
1400000US11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1585,2.06,1.32,231,956,16.6,83.4,11001004802
1400000US11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1025,2.41,1.67,291,528,25.4,74.6,11001004901
1400000US11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1406,1.95,1.61,165,873,31.1,68.9,11001004902
1400000US11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",957,2.03,1.6,103,642,52.2,47.8,11001005001
1400000US11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3524,1.66,1.26,260,2749,21.5,78.5,11001005002
1400000US11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4088,1.42,1.32,59,3584,35.5,64.5,11001005201
1400000US11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3433,1.53,1.33,179,2866,37.8,62.2,11001005301
1400000US11001005500,"Census Tract 55, District of Columbia, District of Columbia",4232,1.48,1.26,174,3322,36.3,63.7,11001005500
1400000US11001005600,"Census Tract 56, District of Columbia, District of Columbia",3579,1.36,1.18,92,2989,31.9,68.1,11001005600
1400000US11001005800,"Census Tract 58, District of Columbia, District of Columbia",1718,1.51,1.15,135,1282,35.7,64.3,11001005800
1400000US11001005900,"Census Tract 59, District of Columbia, District of Columbia",1394,1.72,1.58,45,1200,10.5,89.5,11001005900
1400000US11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,-,-,0,0,-,-,11001006202
1400000US11001006400,"Census Tract 64, District of Columbia, District of Columbia",953,2.08,1.08,198,477,14.8,85.2,11001006400
1400000US11001006500,"Census Tract 65, District of Columbia, District of Columbia",1158,1.99,1.58,158,703,46.2,53.8,11001006500
1400000US11001006600,"Census Tract 66, District of Columbia, District of Columbia",855,2.26,1.81,139,438,59.8,40.2,11001006600
1400000US11001006700,"Census Tract 67, District of Columbia, District of Columbia",1787,2.2,1.58,330,833,60.9,39.1,11001006700
1400000US11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",838,2.42,1.51,95,440,56.1,43.9,11001006801
1400000US11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",915,2.44,1.51,233,471,70.7,29.3,11001006802
1400000US11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,-,-,0,0,-,-,11001006804
1400000US11001006900,"Census Tract 69, District of Columbia, District of Columbia",1191,1.8,1.22,167,766,57.7,42.3,11001006900
1400000US11001007000,"Census Tract 70, District of Columbia, District of Columbia",1177,1.94,1.43,131,731,49.8,50.2,11001007000
1400000US11001007100,"Census Tract 71, District of Columbia, District of Columbia",1381,2.4,1.33,203,847,40.2,59.8,11001007100
1400000US11001007200,"Census Tract 72, District of Columbia, District of Columbia",2112,1.89,1.53,205,1472,21.9,78.1,11001007200
1400000US11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",852,3.44,1.53,603,81,0,100,11001007301
1400000US11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1241,2.73,1.17,365,407,21.7,78.3,11001007304
1400000US11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",899,2.7,1.1,355,378,5.9,94.1,11001007401
1400000US11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1081,3.07,1.03,355,373,4.8,95.2,11001007403
1400000US11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1179,3.17,-,589,337,18.8,81.2,11001007404
1400000US11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",954,3.28,1.36,386,243,1.8,98.2,11001007406
